Magma V2.29-4     Tue May 19 2026 14:19:04 on mordell  [Seed = 2015257444]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "X1_43/X1_43.m"
The number of places of X1(43)(F2) of degrees 1..11 is:
[ 21, 0, 0, 0, 0, 0, 6, 42, 105, 84, 126 ]
Loaded case 4 cover of size: 694
Searching RR spaces for 971 divisors... (this might take a moment)
Starting parallel computation with 971 tasks across 32 workers...
556/971 (57.26%) | elapsed=9117s | ETA=6805s | core-time/task=524s
560/971 (57.67%) | elapsed=9180s | ETA=6737s | core-time/task=524s
564/971 (58.09%) | elapsed=9309s | ETA=6717s | core-time/task=528s
568/971 (58.50%) | elapsed=9556s | ETA=6780s | core-time/task=538s
572/971 (58.91%) | elapsed=9614s | ETA=6706s | core-time/task=537s
576/971 (59.32%) | elapsed=9631s | ETA=6604s | core-time/task=535s
580/971 (59.73%) | elapsed=9682s | ETA=6527s | core-time/task=534s
584/971 (60.14%) | elapsed=9698s | ETA=6426s | core-time/task=531s
588/971 (60.55%) | elapsed=9758s | ETA=6356s | core-time/task=531s
592/971 (60.97%) | elapsed=9911s | ETA=6345s | core-time/task=535s
596/971 (61.38%) | elapsed=9947s | ETA=6258s | core-time/task=534s
600/971 (61.79%) | elapsed=10136s | ETA=6267s | core-time/task=540s
604/971 (62.20%) | elapsed=10202s | ETA=6198s | core-time/task=540s
608/971 (62.62%) | elapsed=10300s | ETA=6149s | core-time/task=542s
612/971 (63.03%) | elapsed=10416s | ETA=6110s | core-time/task=544s
616/971 (63.44%) | elapsed=10496s | ETA=6048s | core-time/task=545s
620/971 (63.85%) | elapsed=10534s | ETA=5963s | core-time/task=543s
624/971 (64.27%) | elapsed=10573s | ETA=5879s | core-time/task=542s
628/971 (64.67%) | elapsed=10693s | ETA=5840s | core-time/task=544s
632/971 (65.09%) | elapsed=10878s | ETA=5834s | core-time/task=550s
636/971 (65.50%) | elapsed=10963s | ETA=5774s | core-time/task=551s
640/971 (65.91%) | elapsed=11008s | ETA=5693s | core-time/task=550s
644/971 (66.32%) | elapsed=11043s | ETA=5607s | core-time/task=548s
648/971 (66.73%) | elapsed=11067s | ETA=5516s | core-time/task=546s
652/971 (67.15%) | elapsed=11204s | ETA=5482s | core-time/task=549s
656/971 (67.56%) | elapsed=11371s | ETA=5460s | core-time/task=554s
660/971 (67.97%) | elapsed=11424s | ETA=5383s | core-time/task=553s
664/971 (68.38%) | elapsed=11518s | ETA=5325s | core-time/task=555s
668/971 (68.80%) | elapsed=11661s | ETA=5289s | core-time/task=558s
672/971 (69.20%) | elapsed=11717s | ETA=5213s | core-time/task=557s
676/971 (69.62%) | elapsed=11736s | ETA=5121s | core-time/task=555s
680/971 (70.03%) | elapsed=11753s | ETA=5029s | core-time/task=553s
684/971 (70.45%) | elapsed=11761s | ETA=4934s | core-time/task=550s
688/971 (70.85%) | elapsed=11955s | ETA=4917s | core-time/task=556s
692/971 (71.27%) | elapsed=12065s | ETA=4864s | core-time/task=557s
696/971 (71.68%) | elapsed=12237s | ETA=4835s | core-time/task=562s
700/971 (72.09%) | elapsed=12349s | ETA=4781s | core-time/task=564s
704/971 (72.50%) | elapsed=12361s | ETA=4688s | core-time/task=561s
708/971 (72.91%) | elapsed=12412s | ETA=4610s | core-time/task=561s
712/971 (73.33%) | elapsed=12458s | ETA=4531s | core-time/task=559s
716/971 (73.74%) | elapsed=12493s | ETA=4449s | core-time/task=558s
720/971 (74.15%) | elapsed=12554s | ETA=4376s | core-time/task=557s
724/971 (74.56%) | elapsed=12733s | ETA=4344s | core-time/task=562s
728/971 (74.98%) | elapsed=12800s | ETA=4272s | core-time/task=562s
732/971 (75.38%) | elapsed=12916s | ETA=4217s | core-time/task=564s
736/971 (75.80%) | elapsed=12953s | ETA=4135s | core-time/task=563s
740/971 (76.21%) | elapsed=13068s | ETA=4079s | core-time/task=565s
744/971 (76.62%) | elapsed=13083s | ETA=3992s | core-time/task=562s
748/971 (77.03%) | elapsed=13177s | ETA=3928s | core-time/task=563s
752/971 (77.45%) | elapsed=13226s | ETA=3851s | core-time/task=562s
756/971 (77.86%) | elapsed=13292s | ETA=3780s | core-time/task=562s
760/971 (78.27%) | elapsed=13458s | ETA=3736s | core-time/task=566s
764/971 (78.68%) | elapsed=13521s | ETA=3663s | core-time/task=566s
768/971 (79.09%) | elapsed=13562s | ETA=3584s | core-time/task=565s
772/971 (79.51%) | elapsed=13665s | ETA=3522s | core-time/task=566s
776/971 (79.91%) | elapsed=13709s | ETA=3445s | core-time/task=565s
780/971 (80.33%) | elapsed=13785s | ETA=3375s | core-time/task=565s
784/971 (80.74%) | elapsed=14032s | ETA=3346s | core-time/task=572s
788/971 (81.16%) | elapsed=14240s | ETA=3307s | core-time/task=578s
792/971 (81.56%) | elapsed=14364s | ETA=3246s | core-time/task=580s
796/971 (81.98%) | elapsed=14442s | ETA=3175s | core-time/task=580s
800/971 (82.39%) | elapsed=14488s | ETA=3096s | core-time/task=579s
804/971 (82.80%) | elapsed=14521s | ETA=3016s | core-time/task=577s
808/971 (83.21%) | elapsed=14645s | ETA=2954s | core-time/task=580s
812/971 (83.62%) | elapsed=14747s | ETA=2887s | core-time/task=581s
816/971 (84.04%) | elapsed=14845s | ETA=2819s | core-time/task=582s
820/971 (84.45%) | elapsed=15181s | ETA=2795s | core-time/task=592s
824/971 (84.86%) | elapsed=15271s | ETA=2724s | core-time/task=593s
828/971 (85.27%) | elapsed=15326s | ETA=2646s | core-time/task=592s
832/971 (85.69%) | elapsed=15367s | ETA=2567s | core-time/task=591s
836/971 (86.09%) | elapsed=15498s | ETA=2502s | core-time/task=593s
840/971 (86.51%) | elapsed=15569s | ETA=2428s | core-time/task=593s
844/971 (86.92%) | elapsed=15721s | ETA=2365s | core-time/task=596s
848/971 (87.34%) | elapsed=15854s | ETA=2299s | core-time/task=598s
852/971 (87.74%) | elapsed=15920s | ETA=2223s | core-time/task=597s
856/971 (88.16%) | elapsed=16061s | ETA=2157s | core-time/task=600s
860/971 (88.57%) | elapsed=16108s | ETA=2079s | core-time/task=599s
864/971 (88.98%) | elapsed=16242s | ETA=2011s | core-time/task=601s
868/971 (89.39%) | elapsed=16285s | ETA=1932s | core-time/task=600s
872/971 (89.80%) | elapsed=16437s | ETA=1866s | core-time/task=603s
876/971 (90.22%) | elapsed=16530s | ETA=1792s | core-time/task=603s
880/971 (90.62%) | elapsed=16678s | ETA=1724s | core-time/task=606s
884/971 (91.04%) | elapsed=16704s | ETA=1643s | core-time/task=604s
888/971 (91.45%) | elapsed=16795s | ETA=1569s | core-time/task=605s
892/971 (91.87%) | elapsed=16906s | ETA=1497s | core-time/task=606s
896/971 (92.27%) | elapsed=17117s | ETA=1432s | core-time/task=611s
900/971 (92.69%) | elapsed=17271s | ETA=1362s | core-time/task=614s
904/971 (93.10%) | elapsed=17336s | ETA=1284s | core-time/task=613s
908/971 (93.52%) | elapsed=17554s | ETA=1217s | core-time/task=618s
912/971 (93.92%) | elapsed=17603s | ETA=1138s | core-time/task=617s
916/971 (94.34%) | elapsed=17750s | ETA=1065s | core-time/task=620s
920/971 (94.75%) | elapsed=17781s | ETA=985s | core-time/task=618s
924/971 (95.16%) | elapsed=17907s | ETA=910s | core-time/task=620s
928/971 (95.57%) | elapsed=18049s | ETA=836s | core-time/task=622s
932/971 (95.98%) | elapsed=18173s | ETA=760s | core-time/task=623s
936/971 (96.40%) | elapsed=18215s | ETA=681s | core-time/task=622s
940/971 (96.80%) | elapsed=18442s | ETA=608s | core-time/task=627s
944/971 (97.22%) | elapsed=18793s | ETA=537s | core-time/task=637s
948/971 (97.63%) | elapsed=18945s | ETA=459s | core-time/task=639s
952/971 (98.05%) | elapsed=19006s | ETA=379s | core-time/task=638s
956/971 (98.45%) | elapsed=19032s | ETA=298s | core-time/task=637s
960/971 (98.87%) | elapsed=19074s | ETA=218s | core-time/task=635s
964/971 (99.28%) | elapsed=19190s | ETA=139s | core-time/task=637s
968/971 (99.69%) | elapsed=19310s | ETA=59s | core-time/task=638s
971/971 (100.0%) | elapsed=19916s | ETA=0s | core-time/task=656s
Computation finished. 0 divisors produced a non-constant function of degree <= 
18 (true), and 971 did not (false).
Total calculation time: 442360.160 seconds

Total time: 442454.369 seconds, Total memory usage: 105.84MB
