Magma V2.29-4     Thu May 21 2026 17:42:42 on mordell  [Seed = 2015170733]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "X1_32/X1_32.m"
Loaded 22606 covering divisors.
Searching RR spaces for 22606 divisors...
14125/22606 (62.48%) | elapsed=10436s | ETA=6266s | deg8 pole divisors=56 | <=7=false | deg9=false
14238/22606 (62.98%) | elapsed=10513s | ETA=6178s | deg8 pole divisors=56 | <=7=false | deg9=false
14351/22606 (63.48%) | elapsed=10589s | ETA=6091s | deg8 pole divisors=56 | <=7=false | deg9=false
14464/22606 (63.98%) | elapsed=10673s | ETA=6008s | deg8 pole divisors=56 | <=7=false | deg9=false
14577/22606 (64.48%) | elapsed=10751s | ETA=5921s | deg8 pole divisors=56 | <=7=false | deg9=false
14690/22606 (64.98%) | elapsed=10836s | ETA=5839s | deg8 pole divisors=56 | <=7=false | deg9=false
14803/22606 (65.48%) | elapsed=10915s | ETA=5753s | deg8 pole divisors=56 | <=7=false | deg9=false
14916/22606 (65.98%) | elapsed=10991s | ETA=5666s | deg8 pole divisors=56 | <=7=false | deg9=false
15029/22606 (66.48%) | elapsed=11078s | ETA=5585s | deg8 pole divisors=56 | <=7=false | deg9=false
15142/22606 (66.98%) | elapsed=11156s | ETA=5499s | deg8 pole divisors=56 | <=7=false | deg9=false
15255/22606 (67.48%) | elapsed=11240s | ETA=5416s | deg8 pole divisors=56 | <=7=false | deg9=false
15368/22606 (67.98%) | elapsed=11317s | ETA=5330s | deg8 pole divisors=56 | <=7=false | deg9=false
15481/22606 (68.48%) | elapsed=11396s | ETA=5245s | deg8 pole divisors=56 | <=7=false | deg9=false
15594/22606 (68.98%) | elapsed=11474s | ETA=5159s | deg8 pole divisors=56 | <=7=false | deg9=false
15707/22606 (69.48%) | elapsed=11562s | ETA=5078s | deg8 pole divisors=56 | <=7=false | deg9=false
15820/22606 (69.98%) | elapsed=11640s | ETA=4993s | deg8 pole divisors=56 | <=7=false | deg9=false
15933/22606 (70.48%) | elapsed=11716s | ETA=4907s | deg8 pole divisors=56 | <=7=false | deg9=false
16046/22606 (70.98%) | elapsed=11785s | ETA=4818s | deg8 pole divisors=56 | <=7=false | deg9=false
16159/22606 (71.48%) | elapsed=11868s | ETA=4735s | deg8 pole divisors=56 | <=7=false | deg9=false
16272/22606 (71.98%) | elapsed=11963s | ETA=4656s | deg8 pole divisors=56 | <=7=false | deg9=false
16385/22606 (72.48%) | elapsed=12050s | ETA=4575s | deg8 pole divisors=56 | <=7=false | deg9=false
16498/22606 (72.98%) | elapsed=12134s | ETA=4492s | deg8 pole divisors=56 | <=7=false | deg9=false
16611/22606 (73.48%) | elapsed=12207s | ETA=4405s | deg8 pole divisors=56 | <=7=false | deg9=false
16724/22606 (73.98%) | elapsed=12282s | ETA=4319s | deg8 pole divisors=56 | <=7=false | deg9=false
16837/22606 (74.48%) | elapsed=12363s | ETA=4236s | deg8 pole divisors=56 | <=7=false | deg9=false
16950/22606 (74.98%) | elapsed=12457s | ETA=4156s | deg8 pole divisors=56 | <=7=false | deg9=false
17063/22606 (75.48%) | elapsed=12534s | ETA=4071s | deg8 pole divisors=56 | <=7=false | deg9=false
17176/22606 (75.98%) | elapsed=12613s | ETA=3987s | deg8 pole divisors=56 | <=7=false | deg9=false
17289/22606 (76.48%) | elapsed=12705s | ETA=3907s | deg8 pole divisors=56 | <=7=false | deg9=false
17402/22606 (76.98%) | elapsed=12787s | ETA=3823s | deg8 pole divisors=56 | <=7=false | deg9=false
17515/22606 (77.48%) | elapsed=12856s | ETA=3736s | deg8 pole divisors=56 | <=7=false | deg9=false
17628/22606 (77.98%) | elapsed=12934s | ETA=3652s | deg8 pole divisors=56 | <=7=false | deg9=false
17741/22606 (78.48%) | elapsed=13020s | ETA=3570s | deg8 pole divisors=56 | <=7=false | deg9=false
17854/22606 (78.98%) | elapsed=13113s | ETA=3490s | deg8 pole divisors=56 | <=7=false | deg9=false
17967/22606 (79.48%) | elapsed=13189s | ETA=3405s | deg8 pole divisors=56 | <=7=false | deg9=false
18080/22606 (79.98%) | elapsed=13265s | ETA=3320s | deg8 pole divisors=56 | <=7=false | deg9=false
18193/22606 (80.48%) | elapsed=13340s | ETA=3235s | deg8 pole divisors=56 | <=7=false | deg9=false
18306/22606 (80.98%) | elapsed=13427s | ETA=3153s | deg8 pole divisors=56 | <=7=false | deg9=false
18419/22606 (81.48%) | elapsed=13504s | ETA=3069s | deg8 pole divisors=56 | <=7=false | deg9=false
18532/22606 (81.98%) | elapsed=13580s | ETA=2985s | deg8 pole divisors=56 | <=7=false | deg9=false
18645/22606 (82.48%) | elapsed=13663s | ETA=2902s | deg8 pole divisors=56 | <=7=false | deg9=false
18758/22606 (82.98%) | elapsed=13751s | ETA=2820s | deg8 pole divisors=56 | <=7=false | deg9=false
18871/22606 (83.48%) | elapsed=13828s | ETA=2736s | deg8 pole divisors=56 | <=7=false | deg9=false
18984/22606 (83.98%) | elapsed=13902s | ETA=2652s | deg8 pole divisors=56 | <=7=false | deg9=false
19097/22606 (84.48%) | elapsed=13972s | ETA=2567s | deg8 pole divisors=56 | <=7=false | deg9=false
19210/22606 (84.98%) | elapsed=14038s | ETA=2481s | deg8 pole divisors=56 | <=7=false | deg9=false
19323/22606 (85.48%) | elapsed=14110s | ETA=2397s | deg8 pole divisors=56 | <=7=false | deg9=false
19436/22606 (85.98%) | elapsed=14199s | ETA=2315s | deg8 pole divisors=56 | <=7=false | deg9=false
19549/22606 (86.48%) | elapsed=14287s | ETA=2234s | deg8 pole divisors=56 | <=7=false | deg9=false
19662/22606 (86.98%) | elapsed=14359s | ETA=2150s | deg8 pole divisors=56 | <=7=false | deg9=false
19775/22606 (87.48%) | elapsed=14440s | ETA=2067s | deg8 pole divisors=56 | <=7=false | deg9=false
19888/22606 (87.98%) | elapsed=14525s | ETA=1985s | deg8 pole divisors=56 | <=7=false | deg9=false
20001/22606 (88.48%) | elapsed=14604s | ETA=1902s | deg8 pole divisors=56 | <=7=false | deg9=false
20114/22606 (88.98%) | elapsed=14687s | ETA=1819s | deg8 pole divisors=56 | <=7=false | deg9=false
20227/22606 (89.48%) | elapsed=14768s | ETA=1737s | deg8 pole divisors=56 | <=7=false | deg9=false
20340/22606 (89.98%) | elapsed=14849s | ETA=1654s | deg8 pole divisors=56 | <=7=false | deg9=false
20453/22606 (90.48%) | elapsed=14945s | ETA=1573s | deg8 pole divisors=56 | <=7=false | deg9=false
20566/22606 (90.98%) | elapsed=15029s | ETA=1490s | deg8 pole divisors=56 | <=7=false | deg9=false
20679/22606 (91.48%) | elapsed=15101s | ETA=1407s | deg8 pole divisors=56 | <=7=false | deg9=false
20792/22606 (91.98%) | elapsed=15180s | ETA=1324s | deg8 pole divisors=56 | <=7=false | deg9=false
20905/22606 (92.48%) | elapsed=15260s | ETA=1241s | deg8 pole divisors=56 | <=7=false | deg9=false
21018/22606 (92.98%) | elapsed=15339s | ETA=1158s | deg8 pole divisors=56 | <=7=false | deg9=false
21131/22606 (93.48%) | elapsed=15411s | ETA=1075s | deg8 pole divisors=56 | <=7=false | deg9=false
21244/22606 (93.98%) | elapsed=15486s | ETA=992s | deg8 pole divisors=56 | <=7=false | deg9=false
21357/22606 (94.48%) | elapsed=15565s | ETA=910s | deg8 pole divisors=56 | <=7=false | deg9=false
21470/22606 (94.98%) | elapsed=15641s | ETA=827s | deg8 pole divisors=56 | <=7=false | deg9=false
21583/22606 (95.48%) | elapsed=15710s | ETA=744s | deg8 pole divisors=56 | <=7=false | deg9=false
21696/22606 (95.98%) | elapsed=15777s | ETA=661s | deg8 pole divisors=56 | <=7=false | deg9=false
21809/22606 (96.48%) | elapsed=15853s | ETA=579s | deg8 pole divisors=56 | <=7=false | deg9=false
