Magma V2.29-4     Fri May 22 2026 02:01:33 on mordell  [Seed = 1563987523]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "X1_N_positive_rank/X1_57.m"
The number of places of X1(57)(F2) of degrees 1..12 is:
[ 18, 9, 0, 0, 0, 2, 36, 18, 4, 216, 126, 381 ]
Searching RR spaces for 308 divisors... (this might take a moment)
Starting parallel computation with 308 tasks across 32 workers...
100/308 (32.47%) | elapsed=52581s | ETA=109369s | core-time/task=16826s
101/308 (32.79%) | elapsed=59510s | ETA=121967s | core-time/task=18854s
102/308 (33.12%) | elapsed=60401s | ETA=121988s | core-time/task=18949s
103/308 (33.44%) | elapsed=61620s | ETA=122643s | core-time/task=19144s
104/308 (33.77%) | elapsed=62790s | ETA=123166s | core-time/task=19320s
105/308 (34.09%) | elapsed=63554s | ETA=122871s | core-time/task=19368s
106/308 (34.41%) | elapsed=64074s | ETA=122104s | core-time/task=19343s
107/308 (34.74%) | elapsed=64416s | ETA=121006s | core-time/task=19264s
108/308 (35.07%) | elapsed=64599s | ETA=119628s | core-time/task=19140s
109/308 (35.39%) | elapsed=66866s | ETA=122077s | core-time/task=19630s
110/308 (35.71%) | elapsed=67164s | ETA=120895s | core-time/task=19538s
111/308 (36.04%) | elapsed=67259s | ETA=119370s | core-time/task=19390s
112/308 (36.36%) | elapsed=68516s | ETA=119904s | core-time/task=19576s
113/308 (36.69%) | elapsed=68652s | ETA=118470s | core-time/task=19441s
114/308 (37.01%) | elapsed=68943s | ETA=117324s | core-time/task=19352s
115/308 (37.34%) | elapsed=69171s | ETA=116087s | core-time/task=19247s
116/308 (37.66%) | elapsed=69333s | ETA=114758s | core-time/task=19126s
117/308 (37.99%) | elapsed=69439s | ETA=113358s | core-time/task=18991s
118/308 (38.31%) | elapsed=69783s | ETA=112363s | core-time/task=18924s
119/308 (38.64%) | elapsed=70085s | ETA=111311s | core-time/task=18846s
120/308 (38.96%) | elapsed=70212s | ETA=109999s | core-time/task=18723s
121/308 (39.29%) | elapsed=70897s | ETA=109569s | core-time/task=18749s
122/308 (39.61%) | elapsed=71232s | ETA=108600s | core-time/task=18683s
